u,g,r,i,z,u_g,g_r,r_i,i_z,redshift,class
21.75372,21.14839,21.31304,21.29545,20.68492,0.6053300000000021,-0.16465000000000174,0.017590000000001993,0.6105299999999971,2.299434,QSO
22.26148,21.72079,21.51823,21.36382,21.28937,0.5406899999999979,0.20256000000000185,0.1544099999999986,0.0744499999999988,1.20676,QSO
24.07678,23.0073,22.43031,22.17204,21.74169,1.0694799999999987,0.5769900000000021,0.25826999999999956,0.4303500000000007,1.669472,QSO
20.06293,18.07067,16.80266,16.32526,15.96852,1.9922600000000017,1.2680100000000003,0.4773999999999994,0.3567400000000003,0.1817536,GALAXY
18.6088,17.52187,17.12905,16.95103,16.89711,1.0869299999999988,0.3928200000000004,0.17802000000000007,0.05391999999999797,0.04329788,GALAXY
21.05817,19.81893,18.77352,18.44571,18.17195,1.2392399999999988,1.0454100000000004,0.32781000000000304,0.27375999999999934,0.1991626,QSO
25.94323,23.31946,22.20279,20.48223,19.71417,2.6237700000000004,1.1166699999999992,1.720559999999999,0.768060000000002,0.7451563,GALAXY
20.23802,18.62053,17.94951,17.68498,17.56997,1.61749,0.6710199999999986,0.2645300000000006,0.11500999999999806,0.0001584171,STAR
19.33176,19.29815,19.04245,19.07623,19.19175,0.033609999999999474,0.2557000000000009,-0.03378000000000014,-0.11552000000000007,1.217563,QSO
20.53564,19.40689,22.19538,21.53732,18.7959,1.1287500000000001,-2.7884899999999995,0.658059999999999,2.7414200000000015,-0.0003136255,STAR
23.94973,23.05105,21.41784,20.8182,20.29465,0.8986799999999988,1.6332099999999983,0.5996400000000008,0.5235500000000002,-0.0001351922,STAR
17.90187,17.14422,16.45493,16.05408,15.83081,0.7576499999999982,0.6892899999999997,0.4008500000000019,0.2232699999999994,0.1408577,QSO
20.11001,18.18316,17.28807,16.89551,16.58741,1.9268499999999982,0.8950899999999997,0.3925599999999996,0.30810000000000315,0.09076249,GALAXY
22.97873,20.54131,18.85002,18.22175,17.83606,2.4374199999999995,1.6912899999999986,0.6282700000000006,0.3856900000000003,0.2956381,GALAXY
